Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,87.8,3.6285,0.993,2.457,1.6627874605372053,84.41,36.6,44.65,0.3428,44.65,0.29148311306901603,8.6993,82.34149999999993,20.995,8.6993,0.29148311306901603,44.65,0.3428,33.55602,84.97652582159624,98.25499471186092,95.07042253521126,66.1284781861903,50.0,82.88843166881212,0.9577464788732394,1.0,0.9859154929577465,0.6056338028169014,A,A+,A+,B-,calmainefoodsinc
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,53.4,5.2459,0.6998,6.1508,1.4574514251091042,510.27,19.34,31.840000000000003,0.1354,11.58,0.7453259221829207,13.7313,378.1,19.34,13.7313,0.7453259221829207,31.576,0.1354,11.58,90.82125603864733,95.75685594440922,86.47342995169082,65.08856682769726,50.0,81.49275605200583,0.9637681159420289,0.9855072463768116,0.927536231884058,0.5942028985507246,A,A+,A-,C+,sonocoproductsco
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,111.04,11.7274,2.4087,6.0669,3.524273816778387,32.98,19.34,29.95,0.32380000000000003,18.44,0.8024237972824092,43.9647,32.98,19.34,43.9647,0.8024237972824092,29.95,0.2942799999999996,16.644,71.4975845410628,83.52763569195795,96.13526570048309,85.64637681159422,50.0,80.74301506109691,0.7971014492753623,0.9130434782608695,1.0,0.8840579710144928,B,A-,A+,B+,cfindustriesholdingsinc
EIX,Edison International,Utilities,Electric Utilities,70.73,5.7895,1.4089,6.3677,1.5482105723979425,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.8282319049333815,25.4078,104.57499999999995,9.78,25.4078,0.8282319049333815,23.0825,0.36719999999999997,8.42,97.02380952380952,76.03737725688946,94.64285714285715,53.27526132404181,50.0,78.77919438285292,1.0,0.8571428571428571,0.9821428571428571,0.44642857142857145,A+,B+,A+,C,edisoninternational
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,32.59,8.0504,1.2942,2.8701,1.888115129253908,76.93,-8.39,24.51,0.3422,13.56,0.9410774410774412,72.983,76.93,-8.39,72.983,0.9410774410774412,24.46,0.3422,13.56,88.8888888888889,51.821500348632135,92.32804232804233,85.41093474426808,50.0,77.75071982281285,0.9841269841269841,0.5079365079365079,0.9841269841269841,0.9365079365079365,A+,C+,A+,A,apacorpus
NEM,Newmont Corporation,Materials,Gold,116.96,17.8559,5.5807,9.2659,7.521736893553531,118.49,21.34,21.72,0.47909999999999997,18.02,0.8070005385029617,166.6059,118.49,21.34,133.01501999999994,0.8070005385029617,21.72,0.2942799999999996,16.644,52.17391304347826,87.3033403084554,93.71980676328502,93.30698287220027,50.0,77.59549458782195,0.5652173913043478,0.9710144927536232,0.9855072463768116,0.9855072463768116,C+,A+,A+,A+,newmontcorporation
NFG,National Fuel Gas Co,Utilities,Gas Utilities,92.89,13.473,2.1063,7.5095,2.712885109067386,-2.57,112.85,21.09,0.2394,11.05,0.9487603305785126,26.3322,-2.57,22.39,26.3322,0.9487603305785126,21.09,0.2394,8.73,89.28571428571429,65.5148423005566,82.73809523809524,81.37755102040816,50.0,77.38443104514533,0.9821428571428571,0.7142857142857143,0.9107142857142857,0.8928571428571429,A+,B,A-,B+,nationalfuelgasco
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,80.5,3.2818,1.4783,2.7795,2.3567850524201694,265.66,4.12,91.96,0.1825,38.72,0.6950354609929079,11.5861,260.61800000000034,4.12,11.5861,0.6950354609929079,91.96,0.1825,38.72,79.71014492753623,77.91405799169775,87.95419254658384,73.43389529724934,50.0,77.18567502631944,0.906832298136646,0.8571428571428571,0.9627329192546584,0.7577639751552795,A-,B+,A,B,boydgamingcorp
CMA,Comerica Inc,Financials,Regional Banks,88.67,8.9355,1.50672,9.9537,1.4724344071736966,85.54,76.29956,17.49,0.4015666,11.99,0.7906024566192241,31.636,85.54,76.29956,31.636,0.7906024566192241,17.49,0.4015666,11.99,70.0,88.29868376163023,74.66666666666667,91.78002395926924,50.0,77.18240821084656,0.7888888888888889,0.9777777777777777,0.7466666666666667,0.9377777777777778,B,A+,B,A,comericainc
JOE,St Joe Co,Real Estate,Real Estate Development,69.86,34.7677,7.8326,22.9614,5.246399014704337,57.0,27.44,15.45,0.2849,8.62,0.8896617893979369,46.6383,57.0,25.247500000000002,40.12625,0.8896617893979369,14.995,0.242375,8.5125,33.333333333333336,100.0,100.0,93.65079365079364,50.0,77.06349206349206,0.5,1.0,1.0,1.0,C,A+,A+,A+,stjoeco
