Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,Rev_Change_Win,Rev_Pct,Rev_Grade,FundamentalPlusRev_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Val_Fail,Mom_Fail,Min_Fund_Factor
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,67.83,8.8726,0.701,6.6977,2.134173200599066,43.65,2.79,27.63,0.0915,15.129999999999999,0.7908624480820913,89.0468,43.65,2.79,89.0468,0.7908624480820913,27.63,0.0915,15.129999999999999,93.51032448377582,64.0936676776295,65.26548672566372,77.08269758925846,62.732919254658384,72.92922585573747,0.9867256637168141,0.6814159292035398,0.672566371681416,0.8185840707964602,A+,B-,B-,B+,deltaairlinesinc,0.003024193548387122,0.90625,0.8581081081081081,32.0,90.0,84.89281911636292,0.003024193548387122,0.6122448979591837,B-,74.20251778120331,85.8108108108108,85.44361413303164,76.45073705156898,False,False,62.732919254658384
PEGA,Pegasystems Inc,Information Technology,Application Software,39.87,16.9543,3.8208,24.452,8.625762623858767,403.79,16.61,60.07,0.1506,60.07,0.24599358974358967,27.7475,234.5905,16.61,27.7475,0.24599358974358967,60.07,0.1506,43.95799999999971,64.3217641121205,80.26525361431023,81.93801440329219,69.8478835978836,60.61776061776062,71.58757207129194,0.6975308641975309,0.8950617283950617,0.8518518518518519,0.7222222222222222,B-,B+,B+,B,pegasystemsinc,0.05263157894736836,0.9473684210526315,0.8645833333333333,19.0,90.0,84.89281911636292,0.05263157894736836,0.5945945945945946,C+,72.649348133068,86.45833333333333,85.83212764654516,75.28590403576344,False,False,60.61776061776062
NEM,Newmont Corporation,Materials,Gold,119.01,18.2735,5.7112,9.4863,3.826786541132891,118.49,21.34,21.72,0.47909999999999997,18.02,0.8246215051386895,164.702,118.49,21.34,164.702,0.8246215051386895,21.72,0.3090399999999998,16.662,52.82051282051282,86.32563089084829,92.82051282051282,84.33566433566433,83.4710743801653,75.54251545555894,0.5692307692307692,0.9538461538461539,0.9846153846153847,0.8769230769230769,C+,A,A+,B+,newmontcorporation,0.010217113665389466,0.8620689655172413,0.8161764705882353,29.0,2.25,4.615109444627974,0.010217113665389466,0.8181818181818182,B+,78.88962289357548,81.61764705882352,50.816632013145295,73.27502471748944,False,False,52.82051282051282
INVA,Innoviva Inc,Health Care,Pharmaceuticals,24.2,6.597,4.349,8.4112,1.5400182002150933,3397.08,14.67,30.599999999999998,0.3981,21.88,0.8904347826086956,40.2899,369.9209999999999,14.67,40.2899,0.8904347826086956,30.599999999999998,0.3981,21.88,75.90811965811967,85.22917714094184,88.42592592592594,75.14245014245014,67.76470588235296,78.1578368526898,0.8680555555555556,0.9444444444444444,0.9305555555555556,0.7430555555555556,B+,A,A,B,innovivainc,0.018181818181818188,0.8181818181818182,0.734375,11.0,0.0,0.0,0.018181818181818188,0.6470588235294118,B-,79.9343074409251,73.4375,44.0625,72.75994595274008,False,False,67.76470588235296
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,25.6,14.6383,5.3267,7.5642,3.2866441565777818,28.29,19.78,24.32,0.43770000000000003,24.32,0.8698539176626829,19.6262,28.29,19.78,19.6262,0.8698539176626829,24.32,0.40269,24.32,69.66297591297591,72.46539468761691,89.93055555555556,64.34343434343434,25.862068965517242,72.26014867334311,0.7986111111111112,0.8402777777777778,0.9513888888888888,0.6527777777777778,B,B+,A,B-,catalystpharmaceuticalsinc,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,0.0,0.07352941176470588,D-,69.84635556989484,82.89473684210526,83.69396975180832,72.61587840627755,False,False,25.862068965517242
APP,Applovin Corp,Information Technology,Application Software,379.14,38.3608,22.0256,31.8882,60.08748296300992,114.63,45.98,249.18,0.6847,68.04,0.30503760974051036,61.1442,114.63,35.881999999999934,61.1442,0.30503760974051036,113.70099999999995,0.40704999999999986,43.95799999999971,31.108781737712558,92.5853038470963,97.71862139917694,75.64814814814815,77.41312741312741,70.85354118327126,0.2716049382716049,0.9876543209876543,1.0,0.7654320987654321,D+,A+,A+,B,applovincorp,0.06417112299465233,0.8823529411764706,0.8397435897435898,34.0,62.25,72.94369172672882,0.06417112299465233,0.7837837837837838,B,73.594853924584,83.97435897435898,79.56209207530691,71.85678479625619,True,False,31.108781737712558
CAH,Cardinal Health Inc,Health Care,Health Care Distributors,215.8,30.7716,0.209,19.5879,35.06320475741722,29.9,10.13,37.169999999999995,0.0104,7.340000000000001,0.8416792670995288,72.64,29.9,10.13,72.64,0.8416792670995288,37.169999999999995,0.0104,7.340000000000001,62.826987826987825,70.71256038647343,52.77777777777778,89.61352657004831,76.7379679144385,65.96640879249574,0.6944444444444444,0.8055555555555556,0.4930555555555556,0.9583333333333334,B-,B+,C,A,cardinalhealthinc,0.045454545454545414,0.8636363636363636,0.8055555555555556,22.0,62.25,72.94369172672882,0.045454545454545414,0.7647058823529411,B,68.6402055839396,80.55555555555556,77.51081002402486,70.41432647195666,False,False,52.77777777777778
COR,Cencora Inc,Health Care,Health Care Distributors,322.46,38.5969,0.1925,18.5429,41.46968800637876,18.29,7.45,101.42999999999999,0.82,17.07,0.4908015161320141,17.3734,18.29,7.45,17.3734,0.4908015161320141,96.491,0.40269,17.07,60.754985754985746,56.90418679549114,92.5925925925926,49.8792270531401,87.96791443850267,64.69357735662084,0.6736111111111112,0.6041666666666666,0.9791666666666666,0.5,B-,B-,A+,C,cencorainc,0.06060606060606066,0.8333333333333334,0.7717391304347826,18.0,62.25,72.94369172672882,0.06060606060606066,0.8529411764705882,B+,68.49036880047109,77.17391304347827,75.48182451677849,69.88865994373256,False,False,49.8792270531401
ENVA,Enova International Inc,Financials,Consumer Finance,145.05,11.7935,1.9872,10.3348,2.6819292880360623,56.49,19.67,24.45,0.4035,5.7700000000000005,0.6560835054909211,68.291,56.49,19.67,68.291,0.6560835054909211,24.45,0.4035,5.7700000000000005,47.29729729729729,70.92207201855388,85.13513513513513,67.0945945945946,83.87878787878789,65.7114414307378,0.4099099099099099,0.8603603603603603,0.8513513513513513,0.7162162162162162,C,B+,B+,B,enovainternationalinc,0.06593406593406603,0.9230769230769231,0.8194444444444445,13.0,32.25,49.19878935026863,0.06593406593406603,0.8484848484848485,B+,69.09932021861658,81.94444444444446,68.84618240677412,69.0486926562481,False,False,47.29729729729729
DELL,Dell Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals",181.46,19.7401,1.0321,12.8697,47.34768427919113,33.09,18.8,130.7,0.0739,13.700000000000001,0.9301902570023218,149.9793,33.09,18.8,149.9793,0.9301902570023218,113.70099999999995,0.0739,13.700000000000001,82.7975774516655,75.50947480192764,69.93955761316873,77.5053214133674,58.049353701527615,73.78724300926757,0.8641975308641975,0.8580246913580247,0.7222222222222222,0.7901234567901234,B+,B+,B,B,delltechnologiesinc,0.03125,0.78125,0.75,32.0,0.0,0.0,0.03125,0.5675675675675675,C+,74.59217837942033,75.0,45.0,68.67374270353628,False,False,58.049353701527615
