Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
UNIT,Uniti Group Inc (Delaware),Communication Services,Alternative Carriers,11.33,2.0761,1.2122,5.0029,6.971449667733202,807.23,91.48,245.66,0.7885,13.11,0.877065394461252,51.0667,623.4379999999993,22.67599999999999,51.0667,0.877065394461252,48.706,0.418365,13.11,85.94276094276093,98.46095462978579,92.94414735591205,93.48565872630044,50.0,88.1110497458855,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,A,A+,A,A,unitigroupincdelaware
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,52.3,4.9898,0.6773,6.3741,1.4274290174757704,562.04,17.49,29.580000000000002,0.136,12.19,0.6897422940879232,17.9256,466.2049999999986,17.49,17.9256,0.6897422940879232,29.419999999999998,0.136,12.19,90.25641025641026,95.5986403122246,89.48717948717949,59.230769230769226,50.0,80.90177934449622,0.9538461538461539,1.0,0.9384615384615385,0.5692307692307692,A,A+,A,C+,sonocoproductsco
MU,Micron Technology Inc,Information Technology,Semiconductors,666.59,30.7198,12.7443,20.1984,13.808067877221111,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9981667883149731,727.9593,252.97,46.931999999999995,486.1248599999999,0.9977894488000338,40.839999999999996,0.4259,33.46,48.797539149888145,97.25833364033795,91.09906139015727,97.11781773211567,50.0,78.84938040950209,0.5369127516778524,0.9932885906040269,0.959731543624161,1.0,C+,A+,A,A+,microntechnologyinc
KALU,Kaiser Aluminum Corp,Materials,Aluminum,180.42,18.5949,0.7704,10.1961,4.347365123731958,242.59,20.84,18.68,0.0674,8.16,0.9780078237216125,166.7357,242.59,20.84,164.30203999999998,0.9719220239469605,18.68,0.0674,8.16,72.3076923076923,93.60214253831276,60.51282051282052,97.90209790209789,50.0,76.50597629321034,0.823076923076923,0.9846153846153847,0.6461538461538462,1.0,B+,A+,B-,A+,kaiseraluminumcorp
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,85.15,3.4119,1.5298,2.8584,2.492922325634502,272.31,3.45,91.96,0.1734,38.72,0.7707340324118213,23.2629,272.31,3.45,23.2629,0.7707340324118213,91.96,0.1734,38.72,80.44144144144144,71.90978857645524,88.28828828828829,71.76576576576576,50.0,75.91754330087664,0.8866666666666667,0.7866666666666666,0.9733333333333334,0.76,B+,B,A+,B,boydgamingcorp
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,38.3,9.4388,1.5174,3.2382,2.2186949670961162,77.13,-8.39,24.51,0.3422,13.56,0.7583708416639582,143.4838,77.13,-8.39,137.79324499999996,0.7583708416639582,24.51,0.3422,13.56,86.88271604938272,51.53189177579422,87.65432098765432,83.48690153568202,50.0,75.6380179215545,0.9642857142857143,0.5357142857142857,0.9642857142857143,0.8928571428571429,A,C+,A,B+,apacorpus
INCY,Incyte Corp,Health Care,Biotechnology,99.85,15.4792,3.8738,10.7649,3.834794664700302,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.771826852531181,67.5055,1414.2029999999986,21.22,67.5055,0.771826852531181,29.15,0.29460000000000003,28.910000000000004,71.00448933782268,86.35665250081726,86.2155388471178,70.04576659038901,50.0,75.58549086447638,0.8296296296296296,0.9481481481481482,0.9111111111111111,0.7333333333333333,B+,A,A-,B,incytecorp
NEM,Newmont Corporation,Materials,Gold,115.1,17.343,5.4204,8.9954,3.7010598343365744,118.49,21.34,21.72,0.47909999999999997,18.02,0.771619905322711,110.7673,118.49,21.34,110.7673,0.771619905322711,21.72,0.23417999999999997,15.787999999999997,52.82051282051282,87.19312602291325,93.33333333333333,82.93706293706293,50.0,75.56449933045677,0.6307692307692307,0.9692307692307692,0.9692307692307692,0.8461538461538461,B-,A,A,B+,newmontcorporation
ECPG,Encore Capital Group Inc,Financials,Consumer Finance,84.24,7.0006,1.0165,8.5645,1.8704869838619427,13.54,33.12,28.189999999999998,0.35340000000000005,5.3100000000000005,0.9719923317903398,155.2727,13.54,33.12,69.07595999999998,0.9634865652761514,28.189999999999998,0.35340000000000005,5.3100000000000005,70.06606637247148,58.23068273701233,89.34010152284264,94.67620366097525,50.0,75.43291925342605,0.7788944723618091,0.6582914572864321,0.8944723618090452,0.9773869346733668,B,B-,B+,A+,encorecapitalgroupinc
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.52,6.1572,4.0591,7.7405,1.433107845819996,3397.08,14.67,30.599999999999998,0.3981,21.88,0.6956521739130435,20.3634,1414.2029999999986,14.67,20.3634,0.6956521739130435,30.599999999999998,0.3981,21.88,77.74971941638609,86.45286292654713,87.468671679198,58.465394254867945,50.0,75.28824921017903,0.8740740740740741,0.9555555555555556,0.9185185185185185,0.6074074074074074,B+,A,A-,B-,innovivainc
