Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,87.85,3.6305,0.9936,2.4586,1.6637343782254381,84.41,36.6,44.65,0.3428,44.65,0.2924008810572686,8.6311,83.03099999999998,21.421499999999977,8.6311,0.2924008810572686,44.65,0.3428,33.91641799999998,84.28571428571429,98.19289076349409,95.0,68.50174216027875,50.0,83.16035515618314,0.9571428571428572,1.0,0.9857142857142858,0.6571428571428571,A,A+,A+,B-,calmainefoodsinc
EIX,Edison International,Utilities,Electric Utilities,71.73,5.8713,1.4288,6.404,1.570099595053081,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.864241987756572,28.4793,102.34999999999991,9.78,28.4793,0.864241987756572,22.873499999999996,0.36719999999999997,8.42,97.12643678160919,76.02289997491626,94.82758620689656,67.75441547518923,50.0,81.74396883714753,1.0,0.8620689655172413,0.9827586206896551,0.7241379310344828,A+,B+,A+,B,edisoninternational
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,53.32,5.2439,0.6995,6.1495,1.4552679772812254,510.27,19.34,31.840000000000003,0.1354,11.58,0.7412834765032846,19.2574,404.5339999999985,19.34,19.2574,0.7412834765032846,31.609,0.1354,11.58,90.68627450980394,95.32613045218088,86.27450980392159,66.30588235294118,50.0,81.5665986394558,0.9705882352941176,0.9852941176470589,0.9264705882352942,0.6323529411764706,A+,A+,A-,B-,sonocoproductsco
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,129.57,13.6844,2.8107,6.9589,4.112393357708714,32.98,19.34,29.95,0.32380000000000003,18.44,0.8877318116975749,68.667,32.98,19.34,68.667,0.8877318116975749,29.95,0.2979699999999999,16.6485,67.6470588235294,83.03871548619449,96.07843137254902,89.2235294117647,50.0,80.38382152861145,0.7647058823529411,0.8970588235294118,1.0,0.9558823529411765,B,B+,A+,A,cfindustriesholdingsinc
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,34.47,8.4913,1.3651,2.987,1.997033706823633,76.93,-8.39,24.51,0.3422,13.56,0.9945240702823674,81.0399,76.93,-8.39,81.0399,0.9924445527662685,24.51,0.3422,13.56,86.33879781420767,51.40708513676154,92.07650273224044,94.73224043715848,50.0,78.83169025139603,0.9836065573770492,0.4918032786885246,0.9836065573770492,1.0,A+,C,A+,A+,apacorpus
NFG,National Fuel Gas Co,Utilities,Gas Utilities,96.3,13.9676,2.1836,7.7243,2.812475357984597,-2.57,112.85,21.09,0.2394,11.05,0.9821229050279328,28.9847,-2.57,22.246,28.9847,0.9821229050279328,21.09,0.2394,8.605999999999998,88.50574712643679,64.60510670254709,83.33333333333333,88.44233055885852,50.0,78.56925756722364,0.9741379310344828,0.7068965517241379,0.9137931034482759,1.0,A+,B,A-,A+,nationalfuelgasco
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,81.64,3.3436,1.5062,2.8204,2.390160641982393,265.66,4.12,91.96,0.1825,38.72,0.7317859445519022,23.7157,197.67799999999934,4.12,23.7157,0.7317859445519022,91.96,0.1825,38.72,78.88198757763975,78.68607477396833,88.16123188405795,78.28228742771472,50.0,78.15447730576103,0.8819875776397516,0.8509316770186336,0.968944099378882,0.782608695652174,B+,B+,A,B,boydgamingcorp
CMA,Comerica Inc,Financials,Regional Banks,88.67,8.9355,1.50672,9.9537,1.4724344071736966,85.54,76.29956,17.49,0.4015666,11.99,0.7906024566192241,31.636,85.54,76.29956,31.636,0.7906024566192241,17.49,0.4015666,11.99,68.85964912280701,88.2838089634206,74.56140350877193,92.5821110835438,50.0,77.02844716728762,0.756578947368421,0.9736842105263158,0.7456140350877193,0.9473684210526315,B,A+,B,A,comericainc
NEM,Newmont Corporation,Materials,Gold,109.58,16.8256,5.2587,8.7225,7.047126614189432,118.49,21.34,21.72,0.47909999999999997,18.02,0.724841484768399,140.0438,118.49,21.34,129.016305,0.724841484768399,21.72,0.2979699999999999,16.6485,52.94117647058823,86.96387645967478,93.62745098039215,89.70588235294116,50.0,76.97610862526828,0.5882352941176471,0.9705882352941176,0.9852941176470589,0.9852941176470589,C+,A+,A+,A+,newmontcorporation
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.03,6.0179,3.9673,7.5281,1.401925659121426,3397.08,14.67,30.599999999999998,0.3981,21.88,0.6388405797101451,26.682,401.13,14.67,26.682,0.6388405797101451,30.599999999999998,0.3981,21.88,76.9803216461892,85.5539518391631,87.32394366197184,67.19718309859155,50.0,76.6262933145912,0.8661971830985915,0.9436619718309859,0.9295774647887324,0.6690140845070423,B+,A,A-,B-,innovivainc
ECPG,Encore Capital Group Inc,Financials,Consumer Finance,66.71,5.5611,0.8075,8.0033,1.4812462807862083,13.54,33.12,28.189999999999998,0.35340000000000005,5.3100000000000005,0.8365192819148934,108.3385,13.54,33.12,56.19847999999996,0.8017247066803727,28.189999999999998,0.35340000000000005,5.3100000000000005,73.02631578947368,60.07260101010101,88.59649122807018,95.36333951619136,50.0,76.49288985964444,0.8486842105263158,0.7149122807017544,0.8859649122807017,0.9692982456140351,B+,B,B+,A,encorecapitalgroupinc
PAHC,Phibro Animal Health Corp,Health Care,Pharmaceuticals,49.47,21.8018,1.3711,12.2217,7.019012485811578,373.82,32.39,30.81,0.1153,8.95,0.8298455406078725,141.4348,373.82,32.39,91.81716499999997,0.8298455406078725,30.81,0.1153,8.95,73.18449705324144,91.24693355327157,61.267605633802816,94.64788732394366,50.0,75.79198984720412,0.8450704225352113,0.9788732394366197,0.6338028169014085,1.0,B+,A+,B-,A+,phibroanimalhealthcorp
JOE,St Joe Co,Real Estate,Real Estate Development,70.48,35.0763,7.9021,23.1451,5.292960242719176,57.0,27.44,15.45,0.2849,8.62,0.9082513792276324,59.7824,57.0,25.247500000000002,51.03495,0.9082513792276324,14.995,0.242375,8.5125,27.777777777777782,100.0,100.0,93.65079365079364,50.0,75.67460317460318,0.5,1.0,1.0,1.0,C,A+,A+,A+,stjoeco
