Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
EIX,Edison International,Utilities,Electric Utilities,71.425,5.8574,1.4255,6.3978,1.5634234431432634,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.8532589124954987,27.5954,104.57499999999995,9.78,27.5954,0.8532589124954987,23.0825,0.36719999999999997,8.42,97.02380952380952,76.03737725688946,94.64285714285715,74.80836236933798,50.0,83.08581459191215,1.0,0.8571428571428571,0.9821428571428571,0.7857142857142857,A+,B+,A+,B,edisoninternational
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,88.4,3.6103,0.988,2.4435,1.6741504727960017,84.41,36.6,44.65,0.3428,44.65,0.30249632892804706,0.6276,81.65199999999996,20.568500000000025,0.6276,0.30249632892804706,44.65,0.3428,33.19562200000002,84.25925925925927,98.27122663661126,94.67592592592591,66.40642409106854,50.0,82.66932644183225,0.9583333333333334,1.0,0.9861111111111112,0.6388888888888888,A,A+,A+,B-,calmainefoodsinc
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,53.225,5.2321,0.698,6.1416,1.4526751329856193,510.27,19.34,31.840000000000003,0.1354,11.58,0.7364830722587167,14.3195,378.1,19.34,14.3195,0.7364830722587167,31.576,0.1354,11.58,90.82125603864735,95.75685594440922,86.47342995169082,66.16210413311863,50.0,81.70746351309012,0.9565217391304348,0.9855072463768116,0.927536231884058,0.6376811594202898,A,A+,A-,B-,sonocoproductsco
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,119.2,12.5047,2.5684,6.4212,3.783262238472476,32.98,19.34,29.95,0.32380000000000003,18.44,0.9522585383767904,56.3582,32.98,19.34,56.3582,0.900919540626244,29.95,0.2942799999999996,16.644,68.59903381642512,83.52763569195795,96.13526570048309,91.65217391304347,50.0,81.21953680022733,0.782608695652174,0.9130434782608695,1.0,0.9565217391304348,B,A-,A+,A,cfindustriesholdingsinc
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,82.11,3.3188,1.495,2.804,2.4039207534685727,265.66,4.12,91.96,0.1825,38.72,0.7469374597034173,23.7988,209.3859999999987,4.12,23.7988,0.7469374597034173,91.96,0.1825,38.72,79.24528301886792,77.70905306050138,88.0118355757238,82.58310871518418,50.0,78.87271200378504,0.8930817610062893,0.8490566037735849,0.9685534591194969,0.8364779874213837,B+,B+,A,B+,boydgamingcorp
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,32.91,8.1218,1.3057,2.889,1.9066544616062011,76.93,-8.39,24.51,0.3422,13.56,0.9569221628045155,71.7188,76.93,-8.39,71.7188,0.9569221628045155,24.46,0.3422,13.56,88.8888888888889,51.821500348632135,92.32804232804233,88.4021164021164,50.0,78.34895615438252,0.9841269841269841,0.5079365079365079,0.9841269841269841,0.9523809523809523,A+,C+,A+,A,apacorpus
CMA,Comerica Inc,Financials,Regional Banks,88.67,8.9355,1.50672,9.9537,1.4724344071736966,85.54,76.29956,17.49,0.4015666,11.99,0.7906024566192241,31.636,85.54,76.29956,31.636,0.7906024566192241,17.49,0.4015666,11.99,69.33333333333334,88.29868376163023,75.1111111111111,92.13990501861122,50.0,77.19882886715939,0.7888888888888889,0.9777777777777777,0.7511111111111111,0.9333333333333333,B,A+,B,A,comericainc
NEM,Newmont Corporation,Materials,Gold,116.1,17.8436,5.5769,9.2595,7.466430004630344,118.49,21.34,21.72,0.47909999999999997,18.02,0.7963565387117761,167.6416,118.49,21.34,143.7750799999999,0.7963565387117761,21.72,0.2942799999999996,16.644,51.207729468599034,87.3033403084554,93.71980676328502,91.72595520421608,50.0,77.03774316050531,0.5652173913043478,0.9710144927536232,0.9855072463768116,0.9710144927536232,C+,A+,A+,A+,newmontcorporation
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.32,6.0971,4.0195,7.6489,1.4203804226777226,3397.08,14.67,30.599999999999998,0.3981,21.88,0.6724637681159421,27.1696,398.3989999999994,14.67,27.1696,0.6724637681159421,30.599999999999998,0.3981,21.88,76.74225019145607,85.00688195104695,87.79342723004696,68.39292163235825,50.0,76.8138800720568,0.8661971830985915,0.9436619718309859,0.9295774647887324,0.6830985915492958,B+,A,A-,B-,innovivainc
NFG,National Fuel Gas Co,Utilities,Gas Utilities,92.185,13.4005,2.0949,7.478,2.692295336197405,-2.57,112.85,21.09,0.2394,11.05,0.9196280991735539,22.7052,-2.57,22.39,22.7052,0.9196280991735539,21.09,0.2394,8.73,88.09523809523809,65.5148423005566,82.73809523809524,79.13265306122449,50.0,76.63783240568955,0.9642857142857143,0.7142857142857143,0.9107142857142857,0.8392857142857143,A,B,A-,B+,nationalfuelgasco
