Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,Rev_Change_Win,Rev_Pct,Rev_Grade,FundamentalPlusRev_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Val_Fail,Mom_Fail,Min_Fund_Factor
MU,Micron Technology Inc,Information Technology,Semiconductors,746.81,34.499,14.3121,22.696,15.4697837822162,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9993974542441816,777.0523,257.60999999999973,47.04399999999999,493.0368199999996,0.9923589762072912,40.839999999999996,0.4248699999999999,33.46,46.52962821976907,97.24150684584339,92.14756129368806,97.7287102243088,64.1025641025641,78.66334079239472,0.5,0.9932432432432432,0.9594594594594594,1.0,C,A+,A,A+,microntechnologyinc,0.01712089447938503,0.9245283018867925,0.8922413793103449,53.0,90.0,84.89281911636292,0.01712089447938503,0.6410256410256411,B-,80.07359720265113,89.22413793103449,87.49161040516586,81.55719984315408,False,False,46.52962821976907
NEM,Newmont Corporation,Materials,Gold,116.51,17.5555,5.4868,9.1075,3.746398621186397,118.49,21.34,21.72,0.47909999999999997,18.02,0.787899780625794,120.5376,118.49,21.34,120.5376,0.787899780625794,21.72,0.23540999999999998,14.592999999999996,53.56316137566137,88.78066378066377,93.65079365079366,86.43578643578643,50.0,76.8467787999038,0.609375,0.96875,0.984375,0.921875,B-,A,A+,A-,newmontcorporation,0.005747126436781658,0.8333333333333334,0.7928571428571429,30.0,32.0,48.93138166338121,0.005747126436781658,0.5,C,76.8467787999038,79.28571428571429,67.14398123678106,74.90621928727926,False,False,50.0
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,73.33,10.7127,0.7358,7.0712,2.3072227745824785,21.36,5.24,23.14,0.08779999999999999,13.209999999999999,0.901639344262295,51.0713,21.36,5.24,51.0713,0.901639344262295,23.14,0.08779999999999999,13.209999999999999,92.82611333576021,67.61885581729392,60.19900497512438,78.69960542117002,45.81124072110286,72.51997182541393,0.9804878048780488,0.7170731707317073,0.6390243902439025,0.8292682926829268,A+,B,B-,B+,deltaairlinesinc,0.0,0.90625,0.8581081081081081,32.0,90.0,84.89281911636292,0.0,0.4878048780487805,C,72.10109589752422,85.8108108108108,85.44361413303164,74.7695995446257,False,False,45.81124072110286
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,31.15,17.7874,6.4726,9.6667,3.999178338960855,28.29,19.78,24.32,0.43770000000000003,24.32,0.8956328645447814,36.8629,28.29,19.78,36.8629,0.8956328645447814,24.32,0.4076999999999999,24.32,61.742604961832065,70.02010693871159,87.85529715762273,70.98560354374308,43.62139917695473,70.60061762635463,0.6717557251908397,0.7938931297709924,0.9312977099236641,0.7404580152671756,B-,B,A,B,catalystpharmaceuticalsinc,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,0.0,0.4444444444444444,C,69.9627575440501,82.89473684210526,83.69396975180832,72.70899998560175,False,False,43.62139917695473
NVDA,NVIDIA Corp,Information Technology,Semiconductors,215.2,43.835,24.3734,37.6849,33.251440844265204,66.76,65.47,104.37,0.6038,97.21,0.9746563992591868,83.3518,66.76,47.04399999999999,83.3518,0.9746563992591868,104.37,0.4248699999999999,46.00349999999993,35.49041999746225,88.59328372393605,96.49028429838289,57.25645539906103,71.60493827160494,67.16512389856071,0.32432432432432434,0.9594594594594594,0.9864864864864865,0.527027027027027,C-,A,A+,C+,nvidiacorp,0.026799687010954587,0.9295774647887324,0.9046052631578948,71.0,90.0,84.89281911636292,0.026799687010954587,0.717948717948718,B,69.3256177257212,90.46052631578948,88.23344343601886,72.16864470934301,True,False,35.49041999746225
ENVA,Enova International Inc,Financials,Consumer Finance,174.9,13.7893,2.3234,11.1236,3.233846483815976,56.49,19.67,24.45,0.4035,5.7700000000000005,0.9796989051094891,84.144,56.49,19.67,70.7628,0.9645380732938337,24.45,0.4035,5.7700000000000005,37.08465798379654,69.3979216365561,83.16326530612244,95.2752009894867,98.7228607918263,67.9966053476883,0.2814070351758794,0.8592964824120602,0.8341708542713567,0.9698492462311558,D+,B+,B+,A,enovainternationalinc,0.06593406593406603,0.9230769230769231,0.8194444444444445,13.0,62.0,72.80127258516636,0.061538461538461584,1.0,A+,72.86889142687095,81.94444444444446,78.28717570073321,71.41623601017498,True,False,37.08465798379654
APP,Applovin Corp,Information Technology,Application Software,468.55,47.2607,27.1377,39.228,74.25750419981615,114.67,45.98,249.2,0.6847,68.05,0.34902845327882337,38.0077,114.67,45.98,38.0077,0.34902845327882337,113.0909999999999,0.4248699999999999,46.00349999999993,32.75916761832255,91.19593045603052,97.54662232655191,65.29538341158059,63.73626373626373,68.87471025974084,0.2972972972972973,0.9797297297297297,0.9966216216216216,0.668918918918919,D+,A+,A+,B-,applovincorp,0.03594771241830064,0.8888888888888888,0.847560975609756,36.0,90.0,84.89281911636292,0.03594771241830064,0.6153846153846154,B-,70.24833663336722,84.75609756097559,84.81078618313052,71.23293989792158,True,False,32.75916761832255
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.89,6.2522,4.1217,7.8854,1.456653578633202,3397.08,14.67,30.599999999999998,0.3981,21.88,0.7385507246376812,23.197,1439.2059999999972,14.67,23.197,0.7385507246376812,30.599999999999998,0.3981,21.88,76.0516062340967,85.90524104089994,87.5968992248062,64.06589147286822,61.45404663923183,75.90635286747936,0.8473282442748091,0.9312977099236641,0.9236641221374046,0.648854961832061,B+,A,A-,B-,innovivainc,0.018181818181818188,0.8181818181818182,0.734375,11.0,0.0,0.0,0.018181818181818188,0.6296296296296297,B-,77.05175753140254,73.4375,44.0625,70.45390602512204,False,False,61.45404663923183
CUBI,Customers Bancorp Inc,Financials,Regional Banks,77.26,9.3105,1.99781,7.5201,1.248684808099158,85.8,55.59768,13.62,0.3985504,11.78,0.8394912174439735,49.4969,85.8,55.59768,49.4969,0.8394912174439735,13.62,0.3985504,11.78,77.11388575530715,79.43500411660199,57.39795918367348,85.51678736010533,92.86563614744352,71.61831953008664,0.8793969849246231,0.9447236180904522,0.5804020100502513,0.8894472361809045,B+,A,C+,B+,customersbancorpinc,0.03921568627450989,0.7058823529411765,0.6704545454545455,17.0,0.0,0.0,0.03921568627450989,0.9310344827586207,A,75.90488314483099,67.04545454545455,40.22727272727273,68.76936106131934,False,False,57.39795918367348
SWX,Southwest Gas Holdings Inc,Utilities,Gas Utilities,89.95,14.8016,3.3551,10.2703,1.6400915315118199,120.15,-21.61,11.62,0.25329999999999997,5.52,0.8372727272727275,18.4332,85.45799999999986,-14.79,18.4332,0.8372727272727275,11.62,0.25329999999999997,5.52,72.92753623188406,52.74061687105165,77.89855072463769,85.61872909698997,84.12698412698413,70.37839093273877,0.78,0.56,0.92,0.84,B,C+,A-,B+,southwestgasholdingsinc,0.0,0.8333333333333334,0.75,12.0,0.0,0.0,0.0,0.6666666666666666,B-,73.79108934543719,75.0,45.0,68.03287147634975,False,False,52.74061687105165
