Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
UNIT,Uniti Group Inc (Delaware),Communication Services,Alternative Carriers,10.92,1.9937,1.1641,4.9588,6.719173024858479,807.23,91.48,245.66,0.7885,13.11,0.9804605722260991,53.1557,387.13399999999774,18.9545,53.1557,0.9782743577061966,47.58500000000001,0.4268799999999999,13.11,88.85521885521887,98.39760709325927,91.68350168350169,92.11242863416777,50.0,88.23668728016555,0.9555555555555556,1.0,0.9555555555555556,0.9111111111111111,A,A+,A,A-,unitigroupincdelaware
EIX,Edison International,Utilities,Electric Utilities,72.37,5.9165,1.4398,6.424,1.5841085695523696,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.8650166754432158,29.0018,102.34999999999991,9.78,29.0018,0.8650166754432158,21.623999999999995,0.36719999999999997,8.42,96.55172413793103,76.86394286810382,94.82758620689656,68.8982338099243,50.0,81.99726292181252,1.0,0.8793103448275862,0.9827586206896551,0.7241379310344828,A+,B+,A+,B,edisoninternational
MU,Micron Technology Inc,Information Technology,Semiconductors,465.66,21.2343,8.8092,13.9298,9.645906610820418,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9859993344754066,569.5327,234.5815,44.423999999999864,338.12125000000003,0.9859993344754066,40.839999999999996,0.41563000000000005,33.46,59.3939393939394,96.7595659493314,91.97743354369861,95.1727610149051,50.0,81.2293086272568,0.6309523809523809,0.9940476190476191,0.9523809523809523,0.9880952380952381,B-,A+,A,A+,microntechnologyinc
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,54.86,5.3812,0.7179,6.2415,1.4972993479678924,510.27,19.34,31.840000000000003,0.1354,11.58,0.819100555836281,26.493,510.27,19.34,26.493,0.819100555836281,31.642,0.1354,11.58,92.03980099502489,93.81967712458118,85.07462686567165,60.78071182548794,50.0,80.19868475518797,0.9701492537313433,0.9850746268656716,0.9029850746268657,0.6119402985074627,A+,A+,A-,B-,sonocoproductsco
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,87.75,3.5992,1.6213,2.9895,2.569042091302731,265.66,4.12,91.96,0.1825,38.72,0.9186303387334317,35.878,260.60600000000034,4.12,35.878,0.9186303387334317,91.96,0.1825,38.72,77.9874213836478,77.26671127614523,88.85173685746888,80.17070979335129,50.0,78.19727377417848,0.8522012578616353,0.8364779874213837,0.9622641509433962,0.8238993710691824,B+,B+,A,B+,boydgamingcorp
INVA,Innoviva Inc,Health Care,Pharmaceuticals,24.19,6.6366,4.3751,8.4716,1.53938182905798,3397.08,14.67,30.599999999999998,0.3981,21.88,0.8892753623188407,38.0708,406.5919999999997,14.67,38.0708,0.8892753623188407,30.599999999999998,0.3981,21.88,75.61302681992338,85.66494078710987,88.27586206896552,74.71264367816093,50.0,78.04773911527639,0.8551724137931035,0.9448275862068966,0.9310344827586207,0.7586206896551724,B+,A,A,B,innovivainc
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,118.96,12.4551,2.5582,6.3985,3.7756449319520615,32.98,19.34,29.95,0.32380000000000003,18.44,0.6846723334247325,65.2222,32.98,19.34,65.2222,0.6846723334247325,29.95,0.3016599999999997,16.653,72.13930348258707,82.13130774697939,96.01990049751244,72.37014925373134,50.0,77.94009239516703,0.8059701492537313,0.8805970149253731,1.0,0.7014925373134329,B+,B+,A+,B,cfindustriesholdingsinc
INCY,Incyte Corp,Health Care,Biotechnology,97.69,15.0825,3.7746,10.4389,3.751838665944642,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.744665967121371,71.7777,406.5919999999997,21.22,71.7777,0.744665967121371,29.15,0.29460000000000003,28.910000000000004,70.99936143039592,87.03259412528631,86.89655172413792,76.88888888888889,50.0,77.2582748914685,0.8206896551724138,0.9586206896551724,0.906896551724138,0.7862068965517242,B+,A,A-,B,incytecorp
NEM,Newmont Corporation,Materials,Gold,119.3,18.3181,5.7251,9.5097,3.836111539846684,118.49,21.34,21.72,0.47909999999999997,18.02,0.820113150906362,117.0275,118.49,21.34,117.0275,0.820113150906362,21.72,0.3016599999999997,16.653,52.7363184079602,86.9139921911777,93.03482587064677,82.63229308005428,50.0,75.35204312389814,0.5746268656716418,0.9552238805970149,0.9850746268656716,0.835820895522388,C+,A,A+,B+,newmontcorporation
OII,Oceaneering International Inc,Energy,Oil & Gas Equipment & Services,35.93,10.2397,1.3011,8.4093,3.334601713240958,143.02,4.62,39.379999999999995,0.1094,25.569999999999997,0.8665217391304347,111.3529,143.02,4.62,111.3529,0.8665217391304347,28.569,0.1094,15.891999999999994,72.58064516129032,79.7485015511581,79.56989247311827,81.80645161290323,50.0,75.34862504141441,0.8629032258064516,0.9032258064516129,0.8709677419354839,0.8548387096774194,B+,A-,B+,B+,oceaneeringinternationalinc
ECPG,Encore Capital Group Inc,Financials,Consumer Finance,79.71,6.5196,0.9467,8.3769,1.7699016795303353,13.54,33.12,28.189999999999998,0.35340000000000005,5.3100000000000005,0.9920634920634919,171.8622,13.54,33.12,83.9718,0.9796725014116319,28.189999999999998,0.35340000000000005,5.3100000000000005,70.81447963800905,57.50206138171205,88.68778280542986,94.52342723689972,50.0,75.28066333458209,0.8144796380090498,0.665158371040724,0.8868778280542986,0.9773755656108597,B+,B-,B+,A+,encorecapitalgroupinc
PARR,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,63.26,8.4721,0.4192,5.7715,2.079388871357947,5.6,-6.39,28.59,0.07200000000000001,15.959999999999999,0.9252585254541174,363.4432,5.6,-6.39,145.87096499999998,0.9169288667570258,28.569,0.07200000000000001,15.891999999999994,93.54838709677419,44.04024590651707,74.19354838709677,97.29699666295886,50.0,75.20293238486292,1.0,0.4032258064516129,0.7661290322580645,1.0,A+,C,B,A+,parpacificholdingsinc
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,37.03,9.122,1.4665,3.1542,2.1451246640096397,77.13,-8.39,24.51,0.3422,13.56,0.7265525982256021,146.2101,77.13,-8.39,145.87096499999998,0.7265525982256021,24.51,0.3422,13.56,86.02150537634408,49.592310001619644,87.0967741935484,84.14103525881471,50.0,75.02623894455999,0.9838709677419355,0.4838709677419355,0.9838709677419355,0.9193548387096774,A+,C,A+,A-,apacorpus
PAHC,Phibro Animal Health Corp,Health Care,Pharmaceuticals,59.02,26.0502,1.6383,14.0035,8.37400681044268,373.82,32.39,30.81,0.1153,8.95,0.9758652094717668,237.2571,373.82,32.39,100.84631999999993,0.9713424522642575,30.81,0.1153,8.95,66.14144316730524,91.1190804406838,61.60919540229886,97.99292661361628,50.0,74.76006105326104,0.7379310344827587,0.9862068965517241,0.6482758620689655,0.993103448275862,B,A+,B-,A+,phibroanimalhealthcorp
ADEA,Adeia Inc,Information Technology,IT Consulting & Other Services,27.3,27.2088,6.8162,14.1551,6.192301585501395,72.59,17.91,26.340000000000003,0.3947,12.870000000000001,0.9819651741293534,131.9456,72.59,17.91,131.9456,0.9819651741293534,26.340000000000003,0.3947,12.870000000000001,57.9978354978355,82.91120156791798,79.94358385924652,89.34404283801874,50.0,73.93640372045785,0.6190476190476191,0.9226190476190477,0.8333333333333334,0.9464285714285714,B-,A-,B+,A,adeiainc
BFH,Bread Financial Holdings Inc,Financials,Consumer Finance,82.64,6.8361,0.789,11.7592,1.0954081402716251,96.57,-3.91,16.12,0.1365,2.4699999999999998,0.9839650145772596,87.6902,87.96,-3.91,83.9718,0.9796725014116319,16.12,0.1365,2.4699999999999998,86.65158371040724,52.602412979911065,71.04072398190046,94.52342723689972,50.0,73.84824496643908,0.9638009049773756,0.5248868778280543,0.7104072398190046,0.9773755656108597,A,C+,B,A+,breadfinancialholdingsinc
DELL,Dell Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals",184.51,20.0719,1.0494,13.0545,48.14350945857795,33.09,18.8,130.7,0.0739,13.700000000000001,0.9395529297650014,125.2044,33.09,18.8,125.2044,0.9395529297650014,111.255,0.0739,13.700000000000001,83.42352092352093,75.75676810751438,69.91776630330847,76.07177478386453,50.0,73.70103038498313,0.8630952380952381,0.8690476190476191,0.7202380952380952,0.7797619047619048,B+,B+,B,B,delltechnologiesinc
UFCS,United Fire Group Inc,Financials,Property & Casualty Insurance,39.32,8.5404,0.7281,5.879,1.0662559285402435,87.78,10.62,13.5,0.1148,11.73,0.9119031607262944,49.9047,87.78,10.62,49.9047,0.9119031607262944,13.5,0.1148,11.73,86.42533936651583,70.9505366106976,59.276018099547514,88.72171945701358,50.0,73.35979058005807,0.9592760180995475,0.8687782805429864,0.5927601809954751,0.9366515837104072,A,B+,C+,A,unitedfiregroupinc
TDW,Tidewater Inc,Energy,Oil & Gas Equipment & Services,84.28,12.48,3.0874,8.2597,3.059531631738103,95.77,0.52,28.110000000000003,0.1889,18.19,0.9169598874032372,138.4833,95.77,0.52,138.4833,0.9169288667570258,28.110000000000003,0.1889,15.891999999999994,56.98924731182796,72.02729837454694,83.60215053763442,93.82488479262673,50.0,73.31828609580033,0.7096774193548387,0.8064516129032258,0.9354838709677419,0.9838709677419355,B,B+,A,A+,tidewaterinc
JOE,St Joe Co,Real Estate,Real Estate Development,67.94,33.7325,7.5994,22.3453,5.102209405368059,57.0,27.44,15.45,0.2849,8.62,0.8307129102566814,60.9571,57.0,24.628,60.9571,0.8307129102566814,15.085999999999999,0.24887999999999996,8.533999999999999,26.666666666666668,100.0,100.0,80.95238095238095,50.0,72.85714285714286,0.5,1.0,1.0,0.8,C,A+,A+,B,stjoeco
ALL,Allstate Corp,Financials,Property & Casualty Insurance,214.88,5.428,0.8246,4.5425,1.8251808362807354,121.66,5.58,39.47,0.19440000000000002,30.25,0.9417940505426847,11.597,87.96,5.58,11.597,0.9417940505426847,39.47,0.19440000000000002,26.51,70.36199095022624,60.25900121170157,97.51131221719457,68.91855203619909,50.0,72.80383644143534,0.8009049773755657,0.7104072398190046,0.9751131221719457,0.7194570135746606,B+,B,A+,B,allstatecorp
