Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
EIX,Edison International,Utilities,Electric Utilities,75.2,6.1553,1.498,6.53,1.6460545036664114,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.989196975153043,44.1718,128.65399999999997,9.78,44.1718,0.9890997399613495,23.06799999999997,0.36719999999999997,8.42,96.61016949152543,78.25850664994084,94.35028248587571,95.23770152955768,50.0,87.43935463025,1.0,0.8983050847457628,1.0,1.0,A+,B+,A+,A+,edisoninternational
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,55.84,5.4911,0.7325,6.3151,1.5164970655890413,510.26,19.34,31.790000000000003,0.1354,11.58,0.8686205154118244,18.6823,241.88049999999996,19.34,18.6823,0.8686205154118244,30.099999999999994,0.1354,11.58,89.04761904761904,96.26577126577126,83.8095238095238,71.97802197802199,50.0,81.86304436304435,0.9571428571428572,0.9857142857142858,0.9071428571428571,0.7142857142857143,A,A+,A-,B,sonocoproductsco
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,84.43,3.4607,0.9471,2.3324,1.598965208350299,84.41,36.6,44.65,0.3428,44.65,0.22962555066079302,-4.9922,65.92999999999998,19.80350000000002,-4.9922,0.22962555066079302,44.65,0.3428,33.19562200000002,85.18518518518519,98.27122663661126,94.21296296296298,50.36428144294857,50.0,79.57663865294901,0.9583333333333334,1.0,0.9861111111111112,0.5,A,A+,A+,C,calmainefoodsinc
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,84.93,3.4784,1.5669,2.7849,4.628236986659692,265.64,4.12,107.19000000000001,0.1825,39.14,0.8378465506125085,11.3871,265.64,4.12,11.3871,0.8378465506125085,107.19000000000001,0.1825,39.14,79.51685529998782,75.7909834828034,87.91773153218936,73.59839357429719,50.0,76.73652211946441,0.891566265060241,0.8313253012048193,0.963855421686747,0.7289156626506024,B+,B+,A,B,boydgamingcorp
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,96.14,10.3061,2.1168,5.7025,3.2763421109130753,32.93,19.34,28.18,0.32380000000000003,17.53,0.7592934352755076,22.6119,32.93,19.34,22.6119,0.7592934352755076,28.18,0.32380000000000003,16.666999999999998,72.85714285714286,86.70899470899471,94.04761904761904,63.085714285714275,50.0,76.68513227513228,0.8071428571428572,0.9571428571428572,1.0,0.6,B+,A,A+,C+,cfindustriesholdingsinc
NEM,Newmont Corporation,Materials,Gold,124.85,18.8982,6.3164,11.0586,4.701474270866676,26.06,26.59,22.720000000000002,0.4537,18.34,0.8928990923651895,190.8223,26.06,26.5225,149.41536,0.8928990923651895,22.720000000000002,0.4537,16.666999999999998,51.42857142857142,85.51587301587301,93.57142857142856,91.55844155844156,50.0,76.66486291486291,0.5571428571428572,0.9428571428571428,0.9857142857142858,0.9428571428571428,C+,A,A+,A,newmontcorporation
PAHC,Phibro Animal Health Corp,Health Care,Pharmaceuticals,53.1,23.0446,1.4493,12.7429,7.5340522133938705,373.82,32.39,30.81,0.1153,8.95,0.9202790234180368,140.2715,235.9425,32.39,76.80187999999998,0.9202790234180368,30.81,0.1153,8.95,74.02298850574712,92.52923800337592,63.448275862068975,90.18567639257294,50.0,75.9107989711438,0.8551724137931035,0.9862068965517241,0.6689655172413793,0.9586206896551724,B+,A+,B-,A,phibroanimalhealthcorp
INCY,Incyte Corp,Health Care,Biotechnology,99.98,15.4646,3.8702,10.7529,3.8397873868476338,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.7903967308019751,34.3817,235.9425,21.22,34.3817,0.7903967308019751,29.15,0.29460000000000003,28.910000000000004,71.26436781609195,84.3145770485672,87.58620689655173,69.78184377199156,50.0,75.53192784227268,0.8206896551724138,0.9517241379310345,0.906896551724138,0.6827586206896552,B+,A,A-,B-,incytecorp
CCK,Crown Holdings Inc,Materials,Paper & Plastic Packaging Products & Materials,114.55,17.9039,1.0686,9.2949,4.332254209339969,78.94,4.78,25.45,0.1244,8.0,0.9490649606299211,30.4076,78.94,4.78,30.4076,0.9490649606299211,25.45,0.1244,8.0,75.23809523809524,79.35490435490436,73.80952380952381,85.71428571428572,50.0,75.27574277574277,0.85,0.8428571428571429,0.7857142857142857,0.9142857142857143,B+,B+,B,A-,crownholdingsinc
CMA,Comerica Inc,Financials,Regional Banks,88.67,8.9355,1.50672,9.9537,1.4724344071736966,85.54,76.29956,17.49,0.4015666,11.99,0.7906024566192241,31.636,85.54,76.29956,31.636,0.7906024566192241,17.49,0.4015666,11.99,72.39819004524887,90.51653107149039,75.56561085972851,72.27845826360961,50.0,74.54994809326435,0.8393665158371041,0.9819004524886877,0.755656108597285,0.7692307692307693,B+,A+,B,B,comericainc
JOE,St Joe Co,Real Estate,Real Estate Development,68.92,38.043,8.1437,24.3488,5.550142135822254,53.54,26.89,14.180000000000001,0.2712,7.8,0.9060578348207247,49.0484,53.54,25.3525,41.589175,0.9060578348207247,14.0425,0.2321,7.8,27.777777777777782,100.0,94.44444444444446,93.65079365079364,50.0,74.28571428571429,0.5,1.0,1.0,1.0,C,A+,A+,A+,stjoeco
INVA,Innoviva Inc,Health Care,Pharmaceuticals,24.24,14.2323,4.6649,8.5783,2.1977623442798335,102.67,10.14,16.63,0.4321,10.92,0.9993527508090612,34.4426,102.67,10.14,34.4426,0.9705824882497961,16.63,0.4119799999999998,10.92,71.0344827586207,73.74306727755004,77.35632183908045,81.16710875331566,50.0,73.07973635559844,0.8137931034482758,0.8551724137931035,0.8137931034482758,0.8344827586206897,B+,B+,B+,B+,innovivainc
IIIN,Insteel Industries Inc,Industrials,Building Products,37.83,15.4373,1.0824,9.1052,1.9773775050440636,147.03,26.19,13.309999999999999,0.0891,13.309999999999999,0.8010443864229764,30.8997,99.0675,21.131999999999998,30.8997,0.8010443864229764,13.309999999999999,0.0891,13.309999999999999,85.23307267988119,98.902242603793,50.56737588652482,71.15467082809982,50.0,72.96149482798008,0.9148936170212766,1.0,0.5234042553191489,0.7319148936170212,A-,A+,C+,B,insteelindustriesinc
AL,Air Lease Corp,Industrials,Passenger Airlines,64.85,6.6765,2.4096,7.6154,0.8575127238491677,153.5,10.32,13.23,0.7495,3.85,0.9958816922500936,36.6758,99.0675,10.32,36.6758,0.9751772487714255,13.23,0.3095999999999997,3.85,79.99211977935381,87.62008266318611,54.39716312056738,83.13862708580243,50.0,72.749062674778,0.8723404255319149,0.9574468085106383,0.5617021276595745,0.8851063829787233,B+,A,C+,B+,airleasecorp
MU,Micron Technology Inc,Information Technology,Semiconductors,429.0,40.5444,11.4115,22.0375,8.886513628059012,205.92,45.43,22.43,0.3245,17.740000000000002,0.9327342877449487,360.2017,205.92,45.43,228.77297999999968,0.9327342877449487,22.43,0.3245,17.740000000000002,40.836155458796966,92.60975021844587,81.36441934062414,92.44004605076384,50.0,72.56010295369722,0.41509433962264153,0.9874213836477987,0.8364779874213837,0.9559748427672956,C,A+,B+,A,microntechnologyinc
HCA,HCA Healthcare Inc,Health Care,Health Care Facilities,540.57,17.8189,1.599,10.714,320.7749821979587,29.09,7.08,695.73,0.1583,9.06,0.952190771616906,62.2992,29.09,7.08,62.2992,0.952190771616906,100.47399999999992,0.1583,9.06,79.54022988505749,59.05046010718981,73.67816091954022,86.18464961067852,50.0,72.35161964472309,0.903448275862069,0.6551724137931034,0.7724137931034483,0.9103448275862069,A-,B-,B,A-,hcahealthcareinc
BFH,Bread Financial Holdings Inc,Financials,Consumer Finance,73.19,6.0919,0.7017,11.5052,0.9701466818305935,96.22,-3.91,16.09,0.1365,2.46,0.7982656321314467,34.3182,88.1415,-3.91,34.3182,0.7982656321314467,16.09,0.1365,2.46,93.66515837104072,52.52188007783926,71.49321266968326,77.42698477992596,50.0,72.27936573173405,0.9864253393665159,0.5339366515837104,0.7149321266968326,0.832579185520362,A+,C+,B,B+,breadfinancialholdingsinc
ALL,Allstate Corp,Financials,Property & Casualty Insurance,209.33,5.2839,0.8027,4.435,1.7780393915610868,121.76,5.58,39.47,0.19440000000000002,30.25,0.8179136635918128,9.8961,88.1415,5.58,9.8961,0.8179136635918128,39.47,0.19440000000000002,25.979999999999997,71.26696832579185,61.563939423365156,94.57013574660633,66.14341182490394,50.0,72.00074626775336,0.8280542986425339,0.7375565610859729,0.9457013574660633,0.6877828054298643,B+,B,A,B-,allstatecorp
GEF,Greif Inc,Materials,"Metal, Glass & Plastic Containers",73.12,3.6746,0.8767,6.5968,1.1915606478622145,211.66,-17.63,39.51,0.1075,22.41,0.8609477689380839,20.7398,211.66,-15.735499999999998,20.7398,0.8609477689380839,30.099999999999994,0.1075,16.666999999999998,87.61904761904763,49.570546737213405,83.8095238095238,71.08571428571429,50.0,71.9883950617284,0.9428571428571428,0.45714285714285713,0.9071428571428571,0.7,A,C,A-,B-,greifinc
MLI,Mueller Industries Inc,Industrials,Industrial Machinery & Supplies & Components,118.59,17.205,3.1506,11.5507,4.101317304799223,29.42,10.87,25.8,0.22820000000000001,25.8,0.7142857142857144,47.6837,29.42,10.87,47.6837,0.7142857142857144,25.8,0.22820000000000001,25.8,68.48214826938232,83.45819378341854,86.38297872340426,56.90882213188323,50.0,71.789684931257,0.8,0.9191489361702128,0.9319148936170213,0.548936170212766,B,A-,A,C+,muellerindustriesinc
OII,Oceaneering International Inc,Energy,Oil & Gas Equipment & Services,37.92,10.6541,1.3537,9.4425,3.5140720421836917,142.95,4.62,39.31,0.1094,25.540000000000003,0.9541206457094308,70.8108,142.95,4.62,70.8108,0.9541206457094308,27.879999999999995,0.1094,14.877999999999997,65.12820512820514,74.61382430956468,77.43589743589745,81.04072398190046,50.0,71.77193529931868,0.8,0.8,0.823076923076923,0.8923076923076924,B,B,B+,B+,oceaneeringinternationalinc
