Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
UNIT,Uniti Group Inc (Delaware),Communication Services,Alternative Carriers,11.12,2.0376,1.1898,4.9823,6.842234801870538,807.23,91.48,245.66,0.7885,13.11,0.8465208284849894,54.0166,570.9259999999986,22.091999999999985,54.0166,0.8465208284849894,81.76299999999969,0.41657500000000003,13.11,89.54822954822954,98.55699855699855,93.34656084656085,88.25396825396825,50.0,88.08589096089096,0.9487179487179487,1.0,1.0,0.8717948717948718,A,A+,A+,B+,unitigroupincdelaware
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,51.71,5.051,0.6857,6.4157,1.4113260897451645,562.04,17.49,29.580000000000002,0.136,12.19,0.6599292572006065,17.0969,240.62599999999998,17.49,17.0969,0.6599292572006065,29.5,0.136,12.19,89.55026455026454,95.26455026455025,90.2116402116402,57.9047619047619,50.0,80.57433862433862,0.9375,0.984375,0.953125,0.5625,A,A+,A,C+,sonocoproductsco
MU,Micron Technology Inc,Information Technology,Semiconductors,646.63,30.2656,12.5559,19.8983,13.39460677695058,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.9395246230655675,682.6555,255.28999999999988,46.98800000000001,463.90684000000016,0.9395246230655675,40.839999999999996,0.4238599999999997,33.46,48.94322679557579,97.24998733150906,92.20239530584358,88.61943372719234,50.0,77.46028973709514,0.5302013422818792,0.9932885906040269,0.959731543624161,0.9664429530201343,C+,A+,A,A,microntechnologyinc
NEM,Newmont Corporation,Materials,Gold,113.49,17.1004,5.3446,8.8674,3.6492900138910325,118.49,21.34,21.72,0.47909999999999997,18.02,0.7530308278489783,110.2056,118.49,21.34,110.2056,0.7530308278489783,21.72,0.23540999999999998,14.592999999999996,54.604828042328045,88.78066378066377,93.65079365079366,85.85858585858585,50.0,76.99175535113035,0.640625,0.96875,0.984375,0.875,B-,A,A+,B+,newmontcorporation
KALU,Kaiser Aluminum Corp,Materials,Aluminum,176.16,19.0026,0.7873,10.3613,4.244716994771211,242.59,20.84,18.68,0.0674,8.16,0.941692950302617,164.7828,240.62599999999998,20.84,163.97665,0.9116121483312382,18.68,0.0674,8.16,72.78439153439153,95.38239538239537,60.31746031746032,97.83549783549783,50.0,76.91904160654161,0.828125,1.0,0.640625,1.0,B+,A+,B-,A+,kaiseraluminumcorp
INCY,Incyte Corp,Health Care,Biotechnology,97.77,15.1671,3.7957,10.5084,3.754911110343,2749.07,21.22,29.15,0.29460000000000003,28.910000000000004,0.7336757153338223,64.1814,1439.2059999999972,21.22,64.1814,0.7336757153338223,29.15,0.29460000000000003,28.910000000000004,71.6424141221374,87.58482760420745,86.56330749354005,70.36913990402363,50.0,76.14222390556557,0.8091603053435115,0.9465648854961832,0.916030534351145,0.7404580152671756,B+,A,A-,B,incytecorp
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.8,6.2282,4.1059,7.8488,1.450926238219179,3397.08,14.67,30.599999999999998,0.3981,21.88,0.7281159420289857,21.6649,1439.2059999999972,14.67,21.6649,0.7281159420289857,30.599999999999998,0.3981,21.88,77.32387086513995,85.90524104089994,87.5968992248062,61.60077519379845,50.0,75.73139576942621,0.8702290076335878,0.9312977099236641,0.9236641221374046,0.6259541984732825,B+,A,A-,B-,innovivainc
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,85.24,3.4376,1.5414,2.8753,2.4955572405999407,272.31,3.45,91.96,0.1734,38.72,0.7747016706443913,20.2087,272.31,3.45,20.2087,0.7747016706443913,91.96,0.1734,38.72,80.75445498727147,70.61307388480601,87.58620689655173,69.51248513674199,50.0,75.1102772752654,0.9060402684563759,0.785234899328859,0.959731543624161,0.738255033557047,A-,B,A,B,boydgamingcorp
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,36.24,8.9311,1.4358,3.1036,2.0993604597275004,77.13,-8.39,24.51,0.3422,13.56,0.6907409413688163,134.1085,77.13,-8.39,134.1085,0.6907409413688163,24.51,0.3422,13.56,87.27272727272727,49.80260681347637,87.27272727272727,77.4891774891775,50.0,74.09472049689441,0.9636363636363636,0.4727272727272727,0.9636363636363636,0.8,A,C,A,B,apacorpus
ECPG,Encore Capital Group Inc,Financials,Consumer Finance,82.22,6.7557,0.9809,8.469,1.8256343757493938,13.54,33.12,28.189999999999998,0.35340000000000005,5.3100000000000005,0.8262754251417139,149.757,13.54,33.12,73.44565,0.8262754251417139,28.189999999999998,0.35340000000000005,5.3100000000000005,71.44780022561788,57.91536404914936,88.77551020408163,86.24613481756339,50.0,73.88812738076743,0.8291457286432161,0.6633165829145728,0.8894472361809045,0.8994974874371859,B+,B-,B+,B+,encorecapitalgroupinc
