Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key,Rev_Change,Rec_BuyRatio,Shrunk_Ratio,Analyst_Count,Streak_Days,Streak_Score,Rev_Change_Win,Rev_Pct,Rev_Grade,FundamentalPlusRev_Score,Consensus_Score,Sentiment_Score,Alpha_Score,Val_Fail,Mom_Fail,Min_Fund_Factor
MU,Micron Technology Inc,Information Technology,Semiconductors,420.97,39.5894,11.1427,21.5206,8.720176321687651,205.92,45.43,22.43,0.3245,17.740000000000002,0.9123515077672861,325.9106,205.92,36.36050000000006,175.81144000000003,0.9123515077672861,22.43,0.3245,17.740000000000002,39.825949367088604,93.50710100423058,80.73899371069182,92.4131430110423,81.39097744360903,72.32528457249968,0.39375,0.99375,0.83125,0.98125,C-,A+,B+,A+,microntechnologyinc,0.03703703703703709,0.9074074074074074,0.8771186440677966,54.0,90.0,84.89281911636292,0.03703703703703709,0.7894736842105263,B,75.4643823168606,87.71186440677965,86.58424629061295,77.68835511161107,False,False,39.825949367088604
NEM,Newmont Corporation,Materials,Gold,124.25,18.8073,6.286,11.0055,4.6788800813390825,26.06,26.59,22.720000000000002,0.4537,18.34,0.8864922584089696,174.101,26.06,26.53,119.17913999999985,0.8864922584089696,22.720000000000002,0.4537,16.674,51.20772946859902,85.50175669740888,92.9951690821256,91.43610013175231,63.63636363636363,76.4382960035134,0.5507246376811594,0.9420289855072463,0.9855072463768116,0.9855072463768116,C+,A,A+,A+,newmontcorporation,0.012771392081736943,0.8275862068965517,0.7867647058823529,29.0,35.75,52.79875893536552,0.012771392081736943,0.6,C+,77.80193236714976,78.67647058823529,68.32538592708738,75.90662307913729,False,False,51.20772946859902
MCK,McKesson Corp,Health Care,Health Care Distributors,949.25,26.836,0.2927,19.777,30.200018452473746,59.37,15.49,39.43,0.014199999999999999,16.23,0.9399340545837362,58.8145,59.37,15.49,58.8145,0.9399340545837362,39.43,0.014199999999999999,16.23,66.9988978113683,80.48658675799086,60.0,89.2123287671233,80.08415147265076,70.68950755786491,0.7465753424657534,0.8972602739726028,0.6027397260273972,0.9383561643835616,B,B+,B-,A,mckessoncorp,0.045454545454545414,0.8636363636363636,0.8055555555555556,22.0,35.75,52.79875893536552,0.045454545454545414,0.8064516129032258,B+,73.69792270513,80.55555555555556,69.45283690747954,72.8489055455999,False,False,60.0
CPRX,Catalyst Pharmaceuticals Inc,Health Care,Biotechnology,24.11,13.6169,5.1253,7.0391,4.005316056150843,45.99,25.56,26.39,0.44780000000000003,26.39,0.6719787516600266,11.5171,45.99,25.56,11.5171,0.6719787516600266,26.39,0.41145,26.39,72.1382459455204,70.72101272015655,89.3835616438356,48.864155251141554,54.205069124423964,69.29748549159862,0.821917808219178,0.8082191780821918,0.952054794520548,0.4452054794520548,B+,B+,A,C,catalystpharmaceuticalsinc,0.0,0.9285714285714286,0.8289473684210527,14.0,90.0,84.89281911636292,0.0,0.5645161290322581,C+,69.71799240404101,82.89473684210526,83.69396975180832,72.51318787359448,False,False,48.864155251141554
CCK,Crown Holdings Inc,Materials,Paper & Plastic Packaging Products & Materials,115.1,17.9086,1.0689,9.2966,4.353055080707381,78.94,4.78,25.45,0.1244,8.0,0.9811888638073739,31.8593,78.94,4.78,31.8593,0.9708108791513582,25.45,0.1244,8.0,74.39613526570048,79.98151130196219,72.46376811594202,85.73268921095008,81.81818181818183,74.85781594799307,0.855072463768116,0.855072463768116,0.7463768115942029,0.9130434782608695,B+,B+,B,A-,crownholdingsinc,0.04999999999999993,0.85,0.79,20.0,0.0,0.0,0.04999999999999993,0.8,B,78.03963412981126,79.0,47.4,71.91170730384901,False,False,72.46376811594202
DAL,Delta Air Lines Inc,Industrials,Passenger Airlines,66.88,8.7075,0.6879,6.5957,2.1042828196382946,43.65,2.79,27.63,0.0915,15.129999999999999,0.7716960749009721,11.4667,43.65,2.79,11.4667,0.7716960749009721,27.63,0.0915,15.129999999999999,94.48958926650214,63.61080333624332,65.72463768115942,44.09341180937915,66.76356589147288,66.59439976603988,0.9826086956521739,0.6826086956521739,0.6782608695652174,0.4,A+,B-,B-,C-,deltaairlinesinc,0.013392857142857095,0.90625,0.8581081081081081,32.0,90.0,84.89281911636292,0.013392857142857095,0.6511627906976745,B-,68.27075635518717,85.8108108108108,85.44361413303164,71.70532791075607,False,False,44.09341180937915
WBS,Webster Financial Corp,Financials,Regional Banks,72.78,11.9267,2.72593,10.1125,1.2360943630156762,34.39,93.49402,10.7,0.4321621,9.45,0.9652677279305354,30.4301,34.39,93.49402,30.4301,0.8960953378693627,10.7,0.4321621,9.45,64.7982062780269,88.64323052023514,40.35874439461883,94.65339548767213,46.975806451612904,67.94856286974289,0.6995515695067265,0.9730941704035875,0.40358744394618834,0.968609865470852,B-,A+,C,A,websterfinancialcorp,0.0,0.8636363636363636,0.8055555555555556,22.0,90.0,84.89281911636292,0.0,0.4090909090909091,C,67.64614351490418,80.55555555555556,82.2904609798785,70.57500700789905,False,False,40.35874439461883
COR,Cencora Inc,Health Care,Health Care Distributors,366.03,43.8121,0.2186,20.8241,47.07296998379587,18.29,7.45,101.42999999999999,0.82,17.07,0.9158748720947226,51.6092,18.29,7.45,51.6092,0.9158748720947226,100.235,0.41145,17.07,57.62714533144386,52.38095238095238,92.23744292237443,82.99086757990868,98.59747545582049,69.5405110556268,0.5958904109589042,0.5342465753424658,0.976027397260274,0.8698630136986302,C+,C+,A+,B+,cencorainc,0.13636363636363635,0.8636363636363636,0.8055555555555556,22.0,5.75,11.37445042263574,0.09956709956709958,0.967741935483871,A,74.40025860120885,80.55555555555556,52.88311350238763,70.09682958144461,False,False,52.38095238095238
WDC,Western Digital Corp,Information Technology,"Technology Hardware, Storage & Peripherals",280.42,29.3934,10.4769,34.0649,17.564232653112356,580.16,12.51,62.71,0.2832,33.43,0.8951154143506651,440.1511,224.2979999999998,12.51,175.81144000000003,0.8951154143506651,62.71,0.2832,33.43,38.49683544303798,79.5906625020549,88.50366876310272,92.32649498035792,78.46889952153111,71.13355754801773,0.375,0.89375,0.93125,0.975,C-,B+,A,A+,westerndigitalcorp,0.03125,0.8125,0.7770270270270271,32.0,0.0,0.0,0.03125,0.7631578947368421,B,73.98044750017084,77.70270270270271,46.62162162162162,68.508682324461,False,False,38.49683544303798
UAL,United Airlines Holdings Inc,Industrials,Passenger Airlines,107.17,10.3376,0.5868,6.8901,2.2703199674609365,8.34,3.52,24.13,0.07980000000000001,8.34,0.8208599910727571,11.7635,8.34,3.52,11.7635,0.8208599910727571,24.13,0.07980000000000001,8.34,94.92310613252327,49.672619068858566,51.3768115942029,51.14067420438253,72.86821705426357,61.73763808632977,0.9956521739130435,0.45652173913043476,0.5478260869565217,0.47391304347826085,A+,C,C+,C,unitedairlinesholdingsinc,0.014814814814814836,0.8666666666666667,0.8214285714285714,30.0,90.0,84.89281911636292,0.014814814814814836,0.6976744186046512,B-,64.02445979175613,82.14285714285714,83.24284193225945,67.86813621985681,False,False,49.672619068858566
