Ticker,Name,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EV_EBITDA_Used,PB_Ratio,EPS_Growth,Rev_Growth,ROE,Op_Margin,ROIC,Mom_Range,Mom_12M,EPS_Growth_Win,Rev_Growth_Win,Mom_12M_Win,Mom_Range_Win,ROE_Win,Op_Margin_Win,ROIC_Win,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Value_Pct,Growth_Pct,Prof_Pct,Mom_Pct,Value_Grade,Growth_Grade,Prof_Grade,Mom_Grade,Name_Key
UNIT,Uniti Group Inc (Delaware),Communication Services,Alternative Carriers,10.33,1.8929,1.1053,4.9048,6.3561407826729015,807.23,91.48,245.66,0.7885,13.11,0.8775296580600139,18.8723,439.6459999999985,20.209999999999997,18.8723,0.8775296580600139,47.839999999999996,0.42844,13.11,87.84355179704016,98.33952700484551,91.47286821705426,79.98896957440942,50.0,85.4948043193746,0.9545454545454546,1.0,0.9545454545454546,0.7954545454545454,A,A+,A,B,unitigroupincdelaware
EIX,Edison International,Utilities,Electric Utilities,73.46,6.0129,1.4633,6.4668,1.6079676042464701,206.15,9.78,27.639999999999997,0.36719999999999997,8.42,0.9265394310406911,22.5968,102.34999999999991,9.78,22.5968,0.9265394310406911,21.623999999999995,0.36719999999999997,8.42,97.12643678160919,76.44342142151004,94.82758620689656,70.39529015979815,50.0,82.35624806338808,1.0,0.8793103448275862,0.9827586206896551,0.7586206896551724,A+,B+,A+,B,edisoninternational
MU,Micron Technology Inc,Information Technology,Semiconductors,366.24,17.1299,7.1065,11.2174,7.586472613380729,412.05,85.55,40.839999999999996,0.48340000000000005,33.46,0.7435334309419229,313.3634,223.36599999999984,34.76,258.32840499999986,0.7435334309419229,40.839999999999996,0.41806999999999994,33.46,65.34110993283845,96.70050701586743,91.7795844625113,86.39491117133392,50.0,80.89925723627772,0.6890243902439024,0.9939024390243902,0.9512195121951219,0.8841463414634146,B-,A+,A,B+,microntechnologyinc
SON,Sonoco Products Co,Materials,Paper & Plastic Packaging Products & Materials,54.84,5.3934,0.7195,6.2496,1.4967534860109228,510.27,19.34,31.840000000000003,0.1354,11.58,0.8180899444163722,14.5363,510.27,19.34,14.5363,0.8180899444163722,31.609,0.1354,11.58,91.66666666666667,93.57230392156862,86.27450980392159,63.05882352941177,50.0,80.81151960784314,0.9632352941176471,0.9852941176470589,0.9264705882352942,0.5882352941176471,A,A+,A-,C+,sonocoproductsco
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,129.97,13.7267,2.8194,6.9782,4.125088868576071,32.98,19.34,29.95,0.32380000000000003,18.44,0.8393192173679977,62.8085,32.98,19.34,62.8085,0.8393192173679977,29.95,0.2979699999999999,16.6485,67.6470588235294,81.94035947712419,96.07843137254902,82.63529411764705,50.0,78.84650326797386,0.7794117647058824,0.8823529411764706,1.0,0.8676470588235294,B,B+,A+,B+,cfindustriesholdingsinc
CALM,Cal-Maine Foods Inc,Consumer Staples,Packaged Foods & Meats,78.1,3.2276,0.8833,2.1593,1.4790854290199968,84.41,36.6,44.65,0.3428,44.65,0.11343612334801748,-16.0937,84.41,21.421499999999977,-16.0937,0.11343612334801748,44.65,0.3428,33.27291799999998,84.28571428571429,95.21327356853672,94.52380952380952,49.85714285714286,50.0,78.71646423751687,0.95,0.9857142857142858,0.9857142857142858,0.4857142857142857,A,A+,A+,C,calmainefoodsinc
JOE,St Joe Co,Real Estate,Real Estate Development,65.15,32.4237,7.3045,21.5664,4.8926838793012815,57.0,27.44,15.45,0.2849,8.62,0.7484408731110578,38.2053,54.666,25.247500000000002,35.2161,0.7484408731110578,14.995,0.239875,8.5125,38.88888888888889,100.0,100.0,93.65079365079364,50.0,78.45238095238095,0.6666666666666666,1.0,1.0,1.0,B-,A+,A+,A+,stjoeco
BYD,Boyd Gaming Corp,Consumer Discretionary,Casinos & Gaming,83.74,3.4296,1.5449,2.8773,2.451641991175962,265.66,4.12,91.96,0.1825,38.72,0.7994842037395229,23.9124,260.60600000000034,4.12,23.9124,0.7994842037395229,91.96,0.1825,38.72,78.40670859538784,77.04209312699878,88.2214791815938,81.60826594788858,50.0,78.38711875922289,0.8679245283018868,0.8427672955974843,0.9685534591194969,0.8427672955974843,B+,B+,A,B+,boydgamingcorp
INVA,Innoviva Inc,Health Care,Pharmaceuticals,22.99,6.2801,4.1401,7.928,1.4630172902043386,3397.08,14.67,30.599999999999998,0.3981,21.88,0.7501449275362317,27.2274,409.3229999999995,14.67,27.2274,0.7501449275362317,30.599999999999998,0.3981,21.88,75.80494789065362,85.87031447946941,87.55868544600939,69.72535211267605,50.0,76.96004165259485,0.8450704225352113,0.9577464788732394,0.9366197183098591,0.676056338028169,B+,A,A,B-,innovivainc
APA,APA Corp (US),Energy,Oil & Gas Exploration & Production,42.04,10.3561,1.6649,3.4814,2.435350820279915,77.13,-8.39,24.51,0.3422,13.56,0.8871430352911837,97.9284,77.13,-8.39,97.9284,0.8871430352911837,24.51,0.3422,13.56,84.40860215053765,51.409711402209524,89.24731182795699,86.75268817204301,50.0,76.04645840947417,0.9838709677419355,0.5,0.9838709677419355,0.9354838709677419,A+,C,A+,A,apacorpus
